lr_actor,lr_critic,batch_size,seed,return
0.0001,0.0005,32,0,307.4
0.0001,0.0005,64,0,255.2
0.0001,0.0005,128,0,361.2
0.0001,0.001,32,0,282.8
0.0001,0.001,64,0,182.2
0.0001,0.001,128,0,176.8
0.0001,0.002,32,0,270.4
0.0001,0.002,64,0,190.0
0.0001,0.002,128,0,175.6
0.0005,0.0005,32,0,116.2
0.0005,0.0005,64,0,457.2
0.0005,0.0005,128,0,449.6
0.0005,0.001,32,0,193.2
0.0005,0.001,64,0,500.0
0.0005,0.001,128,0,453.2
0.0005,0.002,32,0,490.4
0.0005,0.002,64,0,500.0
0.0005,0.002,128,0,328.6
0.001,0.0005,32,0,100.6
0.001,0.0005,64,0,500.0
0.001,0.0005,128,0,500.0
0.001,0.001,32,0,416.8
0.001,0.001,64,0,500.0
0.001,0.001,128,0,285.4
0.001,0.002,32,0,168.4
0.001,0.002,64,0,500.0
0.001,0.002,128,0,203.8
